split_id,protocol,seed,fold,model_id,selected_hyperparameters
interpolation_stratified__seed-44__fold-0,interpolation_stratified,44,0,dt_weighted_sqrt,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 20}"
interpolation_stratified__seed-44__fold-1,interpolation_stratified,44,1,dt_weighted_sqrt,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_leaf"": 20}"
interpolation_stratified__seed-44__fold-2,interpolation_stratified,44,2,dt_weighted_sqrt,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
interpolation_stratified__seed-44__fold-3,interpolation_stratified,44,3,dt_weighted_sqrt,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_leaf"": 20}"
interpolation_stratified__seed-44__fold-4,interpolation_stratified,44,4,dt_weighted_sqrt,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_leaf"": 10}"
extrapolation_grouped__seed-44__fold-0,extrapolation_grouped,44,0,dt_weighted_sqrt,"{""criterion"": ""log_loss"", ""max_depth"": 10, ""min_samples_leaf"": 2}"
extrapolation_grouped__seed-44__fold-1,extrapolation_grouped,44,1,dt_weighted_sqrt,"{""criterion"": ""log_loss"", ""max_depth"": 5, ""min_samples_leaf"": 1}"
extrapolation_grouped__seed-44__fold-2,extrapolation_grouped,44,2,dt_weighted_sqrt,"{""criterion"": ""log_loss"", ""max_depth"": 10, ""min_samples_leaf"": 5}"
extrapolation_grouped__seed-44__fold-3,extrapolation_grouped,44,3,dt_weighted_sqrt,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 10}"
extrapolation_grouped__seed-44__fold-4,extrapolation_grouped,44,4,dt_weighted_sqrt,"{""criterion"": ""log_loss"", ""max_depth"": 5, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-0,lopo,42,0,dt_weighted_sqrt,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-1,lopo,42,1,dt_weighted_sqrt,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-2,lopo,42,2,dt_weighted_sqrt,"{""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 1}"
lopo__seed-42__fold-3,lopo,42,3,dt_weighted_sqrt,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-4,lopo,42,4,dt_weighted_sqrt,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_leaf"": 2}"
lopo__seed-42__fold-5,lopo,42,5,dt_weighted_sqrt,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-6,lopo,42,6,dt_weighted_sqrt,"{""criterion"": ""log_loss"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-7,lopo,42,7,dt_weighted_sqrt,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-8,lopo,42,8,dt_weighted_sqrt,"{""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-9,lopo,42,9,dt_weighted_sqrt,"{""criterion"": ""log_loss"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-10,lopo,42,10,dt_weighted_sqrt,"{""criterion"": ""log_loss"", ""max_depth"": 10, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-11,lopo,42,11,dt_weighted_sqrt,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-12,lopo,42,12,dt_weighted_sqrt,"{""criterion"": ""log_loss"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-13,lopo,42,13,dt_weighted_sqrt,"{""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 1}"
lopo__seed-42__fold-14,lopo,42,14,dt_weighted_sqrt,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-15,lopo,42,15,dt_weighted_sqrt,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-16,lopo,42,16,dt_weighted_sqrt,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-17,lopo,42,17,dt_weighted_sqrt,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-18,lopo,42,18,dt_weighted_sqrt,"{""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 1}"
lopo__seed-42__fold-19,lopo,42,19,dt_weighted_sqrt,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-20,lopo,42,20,dt_weighted_sqrt,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-21,lopo,42,21,dt_weighted_sqrt,"{""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 1}"
lopo__seed-42__fold-22,lopo,42,22,dt_weighted_sqrt,"{""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 1}"
lopo__seed-42__fold-23,lopo,42,23,dt_weighted_sqrt,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_leaf"": 2}"
lopo__seed-42__fold-24,lopo,42,24,dt_weighted_sqrt,"{""criterion"": ""log_loss"", ""max_depth"": 10, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-25,lopo,42,25,dt_weighted_sqrt,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 10}"
