split_id,protocol,seed,fold,model_id,mcc,f1,balanced_accuracy,youden_j
lopo__seed-42__fold-5,lopo,42,5,knn_weighted_sqrt,0.4981180312620327,0.12800982302688133,0.4981180312620327,0.4981180312620327
lopo__seed-42__fold-6,lopo,42,6,knn_weighted_sqrt,0.5751649271783573,0.0,0.5859060793420993,0.5859060793420993
lopo__seed-42__fold-7,lopo,42,7,knn_weighted_sqrt,0.5309808659448211,0.06503291226958668,0.5309808659448211,0.5309808659448211
lopo__seed-42__fold-8,lopo,42,8,knn_weighted_sqrt,0.49789378464816053,0.028000822891976352,0.6814251928466744,0.6814251928466744
lopo__seed-42__fold-9,lopo,42,9,knn_weighted_sqrt,0.5939032120417358,0.0,0.5939032120417358,0.5939032120417358
lopo__seed-42__fold-10,lopo,42,10,knn_weighted_sqrt,0.7333333333333333,0.0,0.7333333333333333,0.7333333333333333
lopo__seed-42__fold-11,lopo,42,11,knn_weighted_sqrt,0.6895415228471808,0.01786387412129948,0.6895415228471808,0.6895415228471808
lopo__seed-42__fold-12,lopo,42,12,knn_weighted_sqrt,0.5999343022937028,0.0,0.6671754698374193,0.6671754698374193
lopo__seed-42__fold-13,lopo,42,13,knn_weighted_sqrt,0.5801870228754531,0.03027111621841103,0.5801870228754531,0.5801870228754531
lopo__seed-42__fold-14,lopo,42,14,knn_weighted_sqrt,0.64,0.0,0.64,0.64
lopo__seed-42__fold-15,lopo,42,15,knn_weighted_sqrt,0.45389759532483465,0.042987752793283776,0.7389370250833994,0.7389370250833994
lopo__seed-42__fold-16,lopo,42,16,knn_weighted_sqrt,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
lopo__seed-42__fold-17,lopo,42,17,knn_weighted_sqrt,0.5519365252307136,0.02068654708215987,0.5519365252307136,0.5519365252307136
lopo__seed-42__fold-18,lopo,42,18,knn_weighted_sqrt,0.49514034269356166,0.051173328828628246,0.49514034269356166,0.49514034269356166
lopo__seed-42__fold-19,lopo,42,19,knn_weighted_sqrt,0.4193104608585872,0.0,0.749346400957818,0.749346400957818
lopo__seed-42__fold-20,lopo,42,20,knn_weighted_sqrt,0.4568437008573686,0.0,0.4568437008573686,0.4568437008573686
lopo__seed-42__fold-21,lopo,42,21,knn_weighted_sqrt,0.4895889914808292,0.06414998646256977,0.5165437580347493,0.5165437580347493
lopo__seed-42__fold-22,lopo,42,22,knn_weighted_sqrt,0.5945377272528112,0.04103118194446324,0.5945377272528112,0.5945377272528112
lopo__seed-42__fold-23,lopo,42,23,knn_weighted_sqrt,0.6,0.0,0.6,0.6
lopo__seed-42__fold-24,lopo,42,24,knn_weighted_sqrt,0.43318481806526576,0.022256213227246142,0.49414078255944655,0.49414078255944655
lopo__seed-42__fold-25,lopo,42,25,knn_weighted_sqrt,0.6423305940757998,0.0,0.6423305940757998,0.6423305940757998
lopo__seed-42__fold-26,lopo,42,26,knn_weighted_sqrt,0.6051010028931463,0.0,0.6051010028931463,0.6051010028931463
lopo__seed-42__fold-27,lopo,42,27,knn_weighted_sqrt,0.72,0.0,0.72,0.72
lopo__seed-42__fold-28,lopo,42,28,knn_weighted_sqrt,0.6710492791012036,0.0,0.6734831245058251,0.6734831245058251
lopo__seed-42__fold-29,lopo,42,29,knn_weighted_sqrt,0.5529890110121275,0.014014131745924285,0.6166006858066564,0.6166006858066564
lopo__seed-42__fold-30,lopo,42,30,knn_weighted_sqrt,0.6301534684192719,1.2513750160381658e-06,0.6301534684192719,0.6301534684192719
lopo__seed-42__fold-31,lopo,42,31,knn_weighted_sqrt,0.76,0.0,0.76,0.76
lopo__seed-42__fold-32,lopo,42,32,knn_weighted_sqrt,0.52,0.0,0.64,0.64
lopo__seed-42__fold-33,lopo,42,33,knn_weighted_sqrt,0.5892591177828386,0.0,0.5892591177828386,0.5892591177828386
lopo__seed-42__fold-34,lopo,42,34,knn_weighted_sqrt,0.5148182610566847,0.016365893332322447,0.5586267862153635,0.5586267862153635
lopo__seed-42__fold-35,lopo,42,35,knn_weighted_sqrt,0.6268961844045887,0.0,0.6268961844045887,0.6268961844045887
lopo__seed-42__fold-36,lopo,42,36,knn_weighted_sqrt,0.6159103277183854,0.0,0.6163886136624835,0.6163886136624835
lopo__seed-42__fold-37,lopo,42,37,knn_weighted_sqrt,0.5293510620865182,0.04717318342514118,0.6263372184659751,0.6263372184659751
lopo__seed-42__fold-38,lopo,42,38,knn_weighted_sqrt,0.5257308808018643,0.0,0.5577965105140644,0.5577965105140644
lopo__seed-42__fold-39,lopo,42,39,knn_weighted_sqrt,0.5157875297062926,0.09816383582507486,0.5157875297062926,0.5157875297062926
lopo__seed-42__fold-40,lopo,42,40,knn_weighted_sqrt,0.8,0.04,0.8,0.8
lopo__seed-42__fold-41,lopo,42,41,knn_weighted_sqrt,0.7024382528207754,0.032158900074125536,0.7024382528207754,0.7024382528207754
lopo__seed-42__fold-42,lopo,42,42,knn_weighted_sqrt,0.6317581208932311,0.0,0.6317581208932311,0.6317581208932311
lopo__seed-42__fold-43,lopo,42,43,knn_weighted_sqrt,0.3971788305884838,0.0,0.4980478938886223,0.4980478938886223
lopo__seed-42__fold-44,lopo,42,44,knn_weighted_sqrt,0.6237162284969342,0.0,0.7343330343445545,0.7343330343445545
